,Input Date,Object X ID,OEM Company,Product/Category,Level,Position Title,Hours,Years Exp High,Years Exp Low,Quoted Rate High,Quoted Rate Low,CEP Provided Rate High,CEP Provided Rate Low,Deal Total,Country,City/State,Currency Notes,Document Name,Database Practice
206,2018-01-18,a1t2J000005OPicQAG,SAP,,,WFA&P Manager,,,,,327.73272000000003,362.84694,292.6185,,USA,,,,Services
207,2018-01-18,a1t2J000005OPicQAG,SAP,,,WFA&P Lead,,,,,262.186176,304.32324,251.65191000000002,,USA,,,,Services
208,2018-01-18,a1t2J000005OPiNQAW,SAP,,,WFA lead,,1.0,0.0,,234.0948,280.91376,228.24243,,USA,,,,Services
17381,2018-01-18,a1t2J000005OPicQAG,SAP,,,EC Lead - Global,,,,,327.73272000000003,362.84694,292.6185,,USA,,,,Services
9647,2018-01-18,a1t2J000005OPiYQAW,SAP,,,Project Manager (Europe),,,,,185.0,,,,UK,,,,Services
17384,2018-01-18,a1t2J000005OPiYQAW,SAP,,,EC Consultant 4 (Regional Support),,,,,150.0,,,,France,,,,Services
3555,2018-01-18,a1t2J000005OPicQAG,SAP,,,Support Organization Development,,,,,228.24243,,,,Netherlands,,,,Services
18678,2018-01-18,a1t2J000005OPiNQAW,SAP,,,Deployment Lead ,,,3.0,,234.0948,,,,Netherlands,,,,Services
10842,2018-01-18,a1t2J000005OPiNQAW,SAP,,,Program Director,,1.0,0.0,,263.35665,,,,USA,,,,Services
9641,2018-01-18,a1t2J000005OPiYQAW,SAP,,,Project Manager (US),,,,,220.0,275.0,215.0,,USA,,,,Services
17380,2018-01-18,a1t2J000005OPicQAG,SAP,,,EC Specialist - Americas,,,,,262.186176,304.32324,251.65191000000002,,USA,,,,Services
205,2018-01-18,a1t2J000005OPicQAG,SAP,,,WFA&P Specialist,,,,,99.49029,,,,Germany,,,,Services
17385,2018-01-18,a1t2J000005OPiYQAW,SAP,,,EC Consultant 3 (for EC Time),,,,,175.0,215.0,170.0,,USA,,,,Services
17379,2018-01-18,a1t2J000005OPicQAG,SAP,,,EC Specialist - APAC,,,,,58.5237,64.37607,40.966590000000004,,India,,,,Services
3775,2018-01-18,a1t2J000005OPiYQAW,SAP,,,Succession Consultant,,,,,175.0,,,,UK,,,,Services
3774,2018-01-18,a1t2J000005OPicQAG,SAP,,,Succession Lead,,,,,99.49029,,,,Czech Republic,,,,Services
3773,2018-01-18,a1t2J000005OPiXQAW,SAP,,,Succession lead,,,3.0,,161.7595068,,,,Spain,,,,Services
3772,2018-01-18,a1t2J000005OPiXQAW,SAP,,,Succession support,,,2.0,,38.625642,,,,Philippines,,,,Services
17230,2018-01-18,a1t2J000005OPicQAG,SAP,,,Engagement Partner,,,,,438.92775,,,,USA,,,,Services
17328,2018-01-18,a1t2J000005OPicQAG,SAP,,,Engagement Director,,,,,292.6185,,,,Italy,,,,Services
22048,2018-01-18,a1t2J000005OPiNQAW,SAP,,,Comp Lead,,,3.0,,175.5711,,,,Germany,,,,Services
22047,2018-01-18,a1t2J000005OPiNQAW,SAP,,,Compensation Configuration,,3.0,2.0,,35.11422,44.478012,29.26185,,India,,,,Services
22046,2018-01-18,a1t2J000005OPiXQAW,SAP,,,Compensation consultant,,2.0,1.0,,38.625642,,,,Philippines,,,,Services
22045,2018-01-18,a1t2J000005OPiYQAW,SAP,,,Compensation Consultant 1,,,,,185.0,220.0,175.0,,USA,,,,Services
22044,2018-01-18,a1t2J000005OPiYQAW,SAP,,,Compensation Consultant 2,,,,,165.0,,,,Netherlands,,,,Services
204,2018-01-18,a1t2J000005OPiYQAW,SAP,,,WFA/WFP Consultant,,,,,275.0,300.0,245.0,,USA,,,,Services
22043,2018-01-18,a1t2J000005OPicQAG,SAP,,,Compensation Lead,,,,,168.548256,,,,Germany,,,,Services
17377,2018-01-18,a1t2J000005OPiXQAW,SAP,,,EC support,,,3.0,,39.796116,,,,India,,,,Services
17378,2018-01-18,a1t2J000005OPicQAG,SAP,,,EC Specialist - EMEA,,,,,168.548256,,,,USA,,,,Services
1794,2018-01-18,a1t2J000005OPicQAG,SAP,,,Test SMA,,,,,99.49029,,,,Czech Republic,,,,Services
10199,2018-01-18,a1t2J000005OPiXQAW,SAP,,,Project Manager,,2.0,1.0,,162.695886,,,,France,,,,Services
22576,2018-01-18,a1t2J000005OPiNQAW,SAP,,,Change Support ,,1.0,0.0,,175.5711,,,,Netherlands,,,,Services
22578,2018-01-18,a1t2J000005OPiNQAW,SAP,,,Change Manager ,,,1.0,,234.0948,,,,Netherlands,,,,Services
12353,2018-01-18,a1t2J000005OPiYQAW,SAP,,,OCM,,,,,185.0,220.0,175.0,,USA,,,,Services
10648,2018-01-18,a1t2J000005OPiYQAW,SAP,,,Program Manager,,,,,235.0,285.0,235.0,,USA,,,,Services
22632,2018-01-18,a1t2J000005OPicQAG,SAP,,,Change Management Lead,,,,,228.24243,,,,Netherlands,,,,Services
2651,2018-01-18,a1t2J000005OPiNQAW,SAP,,,Technical Lead,,1.0,0.0,,263.35665,,,,Netherlands,,,,Services
2642,2018-01-18,a1t2J000005OPiXQAW,SAP,,,Technical lead,,1.0,0.0,,161.7595068,,,,Switzerland,,,,Services
22042,2018-01-18,a1t2J000005OPicQAG,SAP,,,Compensation Specialist,,,,,99.49029,,,,Czech Republic,,,,Services
5090,2018-01-18,a1t2J000005OPiXQAW,SAP,,,Solution Design,,,4.0,,161.7595068,,,,UK,,,,Services
55,2018-01-18,a1t2J000005OPiXQAW,SAP,,,Workforce Analytics & Planning,,,2.0,,161.7595068,,,,Finland,,,,Services
17248,2018-01-18,a1t2J000005OPiNQAW,SAP,,,Engagement partner,,1.0,0.0,,292.6185,,,,Netherlands,,,,Services
17386,2018-01-18,a1t2J000005OPiYQAW,SAP,,,EC Consultant 2,,,,,175.0,,,,Netherlands,,,,Services
3284,2018-01-18,a1t2J000005OPiYQAW,SAP,,,Talent Architect,,,,,200.0,,,,UK,,,,Services
3283,2018-01-18,a1t2J000005OPiXQAW,SAP,,,Talent lead,,,2.0,,161.7595068,,,,UK,,,,Services
23341,2018-01-18,a1t2J000005OPiYQAW,SAP,,,Blended Rate,,,,,190.0,225.0,180.0,,USA,,,,Services
11597,2018-01-18,a1t2J000005OPicQAG,SAP,,,Phase 2 Rollout Support Onshore Liason,,,,,134.60451,,,,Netherlands,,,,Services
11598,2018-01-18,a1t2J000005OPicQAG,SAP,,,Phase 2 Rollout Support Offshore,,,,,55.597515,,,,India,,,,Services
11599,2018-01-18,a1t2J000005OPicQAG,SAP,,,Phase 2 Rollout Support Nearshore,,,,,99.49029,,,,Czech Republic,,,,Services
15516,2018-01-18,a1t2J000005OPiYQAW,SAP,,,Integration Consultant 1,,,,,150.0,200.0,150.0,,USA,,,,Services
15515,2018-01-18,a1t2J000005OPiYQAW,SAP,,,Integration Consultant 2,,,,,150.0,,,,France,,,,Services
15514,2018-01-18,a1t2J000005OPiYQAW,SAP,,,Integration Consultant 3,,,,,120.0,,,,Italy,,,,Services
15513,2018-01-18,a1t2J000005OPiYQAW,SAP,,,Integration Consultant 4,,,,,120.0,,,,Italy,,,,Services
15391,2018-01-18,a1t2J000005OPicQAG,SAP,,,Integration Developer 1,,,,,99.49029,,,,Czech Republic,,,,Services
15385,2018-01-18,a1t2J000005OPicQAG,SAP,,,Integration Developer 2,,,,,87.78555,,,,Poland,,,,Services
15366,2018-01-18,a1t2J000005OPiYQAW,SAP,,,Integration Lead,,,,,185.0,220.0,175.0,,USA,,,,Services
5978,2018-01-18,a1t2J000005OPicQAG,SAP,,,SF Partner Support,,,,,538.41804,550.12278,450.63249,,USA,,,,Services
5979,2018-01-18,a1t2J000005OPicQAG,SAP,,,SF Director Support,,,,,515.00856,526.7133,438.92775,,USA,,,,Services
15294,2018-01-18,a1t2J000005OPiXQAW,SAP,,,Interface Lead,,,6.0,,38.625642,40.966590000000004,29.26185,,India,,,,Services
15299,2018-01-18,a1t2J000005OPiXQAW,SAP,,,Interface consultant,,,1.0,,38.625642,40.966590000000004,29.26185,,India,,,,Services
23666,2018-01-18,a1t2J000005OPicQAG,SAP,,,Benefits Specialist ,,,,,55.597515,64.37607,40.966590000000004,,India,,,,Services
15347,2018-01-18,a1t2J000005OPiNQAW,SAP,,,Integrations,,,3.0,,35.11422,44.478012,29.26185,,India,,,,Services
8746,2018-01-18,a1t2J000005OPiNQAW,SAP,,,Reporting and Data ,,5.0,4.0,,35.11422,44.478012,29.26185,,India,,,,Services
1228,2018-01-18,a1t2J000005OPiYQAW,SAP,,,Training,,,,,175.0,200.0,165.0,,USA,,,,Services
12191,2018-01-18,a1t2J000005OPiYQAW,SAP,,,Onboarding Consultant 1,,,,,185.0,,,,UK,,,,Services
17387,2018-01-18,a1t2J000005OPiYQAW,SAP,,,EC Consultant 1,,,,,185.0,,,,UK,,,,Services
17388,2018-01-18,a1t2J000005OPiNQAW,SAP,,,EC Configuration,,,4.0,,35.11422,44.478012,29.26185,,India,,,,Services
17382,2018-01-18,a1t2J000005OPiNQAW,SAP,,,EC lead,,1.0,0.0,,175.5711,,,,Switzerland,,,,Services
12190,2018-01-18,a1t2J000005OPiYQAW,SAP,,,Onboarding Consultant 2 (Regional Support),,,,,165.0,,,,UK,,,,Services
12189,2018-01-18,a1t2J000005OPiXQAW,SAP,,,Onboarding lead,,,2.0,,161.7595068,204.83295,158.01399,,USA,,,,Services
19818,2018-01-18,a1t2J000005OPicQAG,SAP,,,Data Migration Specialist 3 - APAC,,,,,99.49029,,,,Romania,,,,Services
12188,2018-01-18,a1t2J000005OPicQAG,SAP,,,Onboarding Lead ,,,,,134.60451,,,,Italy,,,,Services
17383,2018-01-18,a1t2J000005OPiXQAW,SAP,,,EC lead,,,3.0,,161.7595068,,,,Germany,,,,Services
19819,2018-01-18,a1t2J000005OPicQAG,SAP,,,Data Migration Specialist 2 - Americas,,,,,117.0474,,,,Romania,,,,Services
12187,2018-01-18,a1t2J000005OPicQAG,SAP,,,Onboarding Specialist,,,,,58.5237,60.864648,38.625642,,India,,,,Services
7979,2018-01-18,a1t2J000005OPicQAG,SAP,,,SDC Lead,,,,,117.0474,,,,Czech Republic,,,,Services
12186,2018-01-18,a1t2J000005OPiXQAW,SAP,,,Onboarding support,,,2.0,,38.625642,,,,Philippines,,,,Services
12185,2018-01-18,a1t2J000005OPiNQAW,SAP,,,Onboarding/Succession & Development Configuration,,,5.0,,35.11422,44.478012,29.26185,,India,,,,Services
19820,2018-01-18,a1t2J000005OPicQAG,SAP,,,Data Migration Specialist 1 - EMEA,,,,,117.0474,,,,Czech Republic,,,,Services
19822,2018-01-18,a1t2J000005OPicQAG,SAP,,,Data Migration Lead,,,,,134.60451,,,,Italy,,,,Services
16126,2018-01-18,a1t2J000005OPicQAG,SAP,,,HR IS  Readiness & L2 processes,,,,,228.24243,,,,Netherlands,,,,Services
16125,2018-01-18,a1t2J000005OPicQAG,SAP,,,HR IS  Readiness & L2 processes,,,,,168.548256,,,,Netherlands,,,,Services
16124,2018-01-18,a1t2J000005OPicQAG,SAP,,,HR IS  Readiness & L2 processes,,,,,134.60451,,,,Netherlands,,,,Services
16123,2018-01-18,a1t2J000005OPicQAG,SAP,,,"HR Org, TOM and L1 Processes",,,,,257.50428,,,,Netherlands,,,,Services
16122,2018-01-18,a1t2J000005OPicQAG,SAP,,,"HR Org, TOM and L1 Processes",,,,,168.548256,,,,Netherlands,,,,Services
12184,2018-01-18,a1t2J000005OPiNQAW,SAP,,,Onboarding/Succession & Development lead,,,2.0,,175.5711,,,,Netherlands,,,,Services
17389,2018-01-18,a1t2J000005OPiYQAW,SAP,,,EC Architect,,,,,200.0,250.0,185.0,,USA,,,,Services
20139,2018-01-18,a1t2J000005OPiYQAW,SAP,,,Data Architect,,,,,185.0,250.0,185.0,,USA,,,,Services
11412,2018-01-18,a1t2J000005OPiNQAW,SAP,,,PMO support,,1.0,0.0,,146.30925,,,,Netherlands,,,,Services
17289,2018-01-18,a1t2J000005OPicQAG,SAP,,,Engagement Manager,,,,,228.24243,,,,Netherlands,,,,Services
5068,2018-01-24,a1t2J000005OXyMQAW,,"AI, Cognitive Learning Platform",,Solution Engineer,,,,,230.0,250.0,190.0,,USA,,,,Services
6285,2018-01-24,a1t2J000005OXyMQAW,,"AI, Cognitive Learning Platform",,Senior Solution Engineer,,,,,285.0,300.0,235.0,,USA,,,,Services
5216,2018-01-24,a1t2J000005OXyMQAW,,"AI, Cognitive Learning Platform",,Solution Architect,,,,,270.0,275.0,225.0,,USA,,,,Services
6288,2018-01-24,a1t2J000005OXyMQAW,,"AI, Cognitive Learning Platform",,Senior Solution Architect,,,,,325.0,350.0,250.0,,USA,,,,Services
7272,2018-01-16,a1t2J000005YqJ8QAK,,,,Senior Configuration Developer,,,,,93.64161849710983,,,,USA,,,,Services
10665,2018-01-16,a1t2J000005YqJ8QAK,,,,Program Manager,,,,,147.97687861271677,,,,USA,,,,Services
13998,2018-01-16,a1t2J000005YqJ8QAK,,,,Lead Solution Architect,,,,,147.97687861271677,,,,USA,,,,Services
2570,2018-01-16,a1t2J000005YqJ8QAK,,,,Technical Lead (application),,,,,35.03468208092485,,,,India,,,,Services
14539,2018-01-16,a1t2J000005YqJ8QAK,,,,Junior Developer,,,,,21.895953757225435,,,,India,,,,Services
16384,2018-01-16,a1t2J000005YqJ8QAK,,,,Functional Solution SME,,,,,41.358381502890175,,,,India,,,,Services
4601,2018-01-16,a1t2J000005YqJ8QAK,,,,Sr. BA / Functional SME,,,,,93.25433526011561,,,,USA,,,,Services
4602,2018-01-16,a1t2J000005YqJ8QAK,,,,Sr. BA,,,,,37.21965317919075,,,,India,,,,Services
6906,2018-01-16,a1t2J000005YqJ8QAK,,,,Senior Developer,,,,,26.271676300578033,,,,India,,,,Services
11468,2018-01-16,a1t2J000005YqJ8QAK,,,,PM,,,,,46.71098265895954,,,,India,,,,Services
6972,2018-01-16,a1t2J000005YqJ8QAK,,,,Senior Data Tester,,,,,85.22543352601156,,,,USA,,,,Services
24729,2018-01-16,a1t2J000005YqJ8QAK,,,,Application Architect,,,,,42.994219653179194,,,,India,,,,Services
14480,2018-01-16,a1t2J000005YqJ8QAK,,,,Junior QA Tester,,,,,18.248554913294797,,,,India,,,,Services
7273,2018-01-16,a1t2J000005YqJ8QAK,,,,Senior Configuration Developer,,,,,37.21965317919075,,,,India,,,,Services
20138,2018-01-16,a1t2J000005YqJ8QAK,,,,Data Architect,,,,,147.97687861271677,,,,USA,,,,Services
19861,2018-01-16,a1t2J000005YqJ8QAK,,,,Data Integration Lead,,,,,39.410404624277454,,,,India,,,,Services
19860,2018-01-16,a1t2J000005YqJ8QAK,,,,Data Integration Lead,,,,,97.49132947976878,,,,USA,,,,Services
19333,2018-01-16,a1t2J000005YqJ8QAK,,,,Data Validation Lead,,,,,92.11560693641619,,,,USA,,,,Services
20285,2018-01-16,a1t2J000005YqJ8QAK,,,,Data Architect,,,,,46.809248554913296,,,,India,,,,Services
6411,2018-01-16,a1t2J000005YqJ8QAK,,,,Senior QA Tester,,,,,21.895953757225435,,,,India,,,,Services
22018,2018-01-16,a1t2J000005YqJ8QAK,,,,Configuration Developer,,,,,86.3179190751445,,,,USA,,,,Services
9082,2018-01-16,a1t2J000005YqJ8QAK,,,,QA Tester,,,,,20.069364161849713,,,,India,,,,Services
9118,2018-01-16,a1t2J000005YqJ8QAK,,,,QA Lead (Application),,,,,27.36994219653179,,,,India,,,,Services
18237,2018-01-16,a1t2J000005YqJ8QAK,,,,Developer,,,,,23.884393063583815,,,,India,,,,Services
22019,2018-01-16,a1t2J000005YqJ8QAK,,,,Configuration Developer,,,,,35.03468208092485,,,,India,,,,Services
22448,2018-01-22,a1t2J000005OXyNQAW,,,,Client Service Team - Associate,,,,,150.0,165.0,125.0,,USA,,,,Services
22447,2018-01-22,a1t2J000005OXyNQAW,,,,Client Service Team - Manager,,,,,75.0,75.0,36.0,,India,,,,Services
22446,2018-01-22,a1t2J000005OXyNQAW,,,,Client Service Team - Manager,,,,,225.0,220.0,185.0,,USA,,,,Services
22445,2018-01-22,a1t2J000005OXyNQAW,,,,Client Service Team - Partner,,,,,350.0,350.0,275.0,,USA,,,,Services
22443,2018-01-22,a1t2J000005OXyNQAW,,,,Client Service Team - Senior Manager,,,,,250.0,275.0,225.0,,USA,,,,Services
17873,2018-01-22,a1t2J000005OXyNQAW,,,,Development - Manager,,,,,250.0,250.0,200.0,,USA,,,,Services
22441,2018-01-22,a1t2J000005OXyNQAW,,,,Client Service Team - Senior Staff,,,,,125.0,150.0,120.0,,USA,,,,Services
22444,2018-01-22,a1t2J000005OXyNQAW,,,,Client Service Team - Senior Associate,,,,,175.0,200.0,150.0,,USA,,,,Services
22440,2018-01-22,a1t2J000005OXyNQAW,,,,Client Service Team - Staff,,,,,30.0,30.0,25.0,,India,,,,Services
22442,2018-01-22,a1t2J000005OXyNQAW,,,,Client Service Team - Senior Staff,,,,,50.0,50.0,32.0,,India,,,,Services
22439,2018-01-22,a1t2J000005OXyNQAW,,,,Client Service Team - Staff,,,,,100.0,125.0,100.0,,USA,,,,Services
21681,2018-01-26,a1t2J000005OXyOQAW,,Healthcare,,Consultant I,,,,,130.0,150.0,115.0,,USA,,,,Services
6657,2018-01-26,a1t2J000005OXyOQAW,,Healthcare,,Senior Manager,,,,,252.0,280.0,230.0,,USA,,,,Services
17474,2018-01-26,a1t2J000005OXyOQAW,,Healthcare,,Director Architecture (Master Consultant),,,,,237.0,290.0,225.0,,USA,,,,Services
6120,2018-01-26,a1t2J000005OXyOQAW,,Healthcare,,Senior Vice President (Principal),,,,,335.8,400.0,315.0,,USA,,,,Services
7079,2018-01-26,a1t2J000005OXyOQAW,,Healthcare,,Senior Consultant I (Team leader),,,,,160.0,200.0,135.0,,USA,,,,Services
13912,2018-01-26,a1t2J000005OXyOQAW,,Healthcare,,Learning Services Project Manager,,,,,212.75,250.0,190.0,,USA,,,,Services
10415,2018-01-26,a1t2J000005OXyOQAW,,Healthcare,,Project Controller,,,,,94.0,120.0,85.0,,USA,,,,Services
7078,2018-01-26,a1t2J000005OXyOQAW,,Healthcare,,Senior Consultant II (Product Consultant),,,,,190.0,230.0,175.0,,USA,,,,Services
25603,2018-01-26,a1t2J000005OXyOQAW,,Healthcare,,Advisory Consultant,,,,,223.0,260.0,200.0,,USA,,,,Services
13600,2018-01-26,a1t2J000005OXyOQAW,,Healthcare,,Manager,,,,,182.0,225.0,175.0,,USA,,,,Services
7077,2018-01-26,a1t2J000005OXyOQAW,,Healthcare,,Senior Consultant II (Senior Team leader),,,,,185.0,225.0,175.0,,USA,,,,Services
17495,2018-01-26,a1t2J000005OXyOQAW,,Healthcare,,Director,,,,,236.0,290.0,225.0,,USA,,,,Services
13911,2018-01-26,a1t2J000005OXyOQAW,,Healthcare,,Learning Services Senior Consultant 1,,,,,192.05,215.0,165.0,,USA,,,,Services
21680,2018-01-26,a1t2J000005OXyOQAW,,Healthcare,,Consultant I (Analyst I Developer),,,,,118.0,135.0,100.0,,USA,,,,Services
13910,2018-01-26,a1t2J000005OXyOQAW,,Healthcare,,Learning Services Senior Consultant 2,,,,,212.75,225.0,180.0,,USA,,,,Services
678,2018-01-26,a1t2J000005OXyOQAW,,Healthcare,,Vice President (Executive Sponsor),,,,,335.8,375.0,300.0,,USA,,,,Services
21676,2018-01-26,a1t2J000005OXyOQAW,,Healthcare,,Consultant II (Lead Analyst),,,,,163.78,200.0,135.0,,USA,,,,Services
6504,2018-01-26,a1t2J000005OXyOQAW,,Healthcare,,Senior Project Controller,,,,,138.0,150.0,120.0,,USA,,,,Services
15941,2018-01-29,a1t2J000005OXyPQAW,,Healthcare,,India QA,,,,,53.0,,,,India,,,,Services
15943,2018-01-29,a1t2J000005OXyPQAW,,Healthcare,,India Lead,,,,,71.0,,,,India,,,,Services
9472,2018-01-29,a1t2J000005OXyPQAW,,Healthcare,,QA,,,,,177.0,,,,USA,,,,Services
18090,2018-01-29,a1t2J000005OXyPQAW,,Healthcare,,Developer,,,,,181.0,,,,USA,,,,Services
23325,2018-01-29,a1t2J000005OXyPQAW,,Healthcare,,Boston Lead (Offshore),,,,,129.0,,,,USA Visa,,,,Services
15948,2018-01-29,a1t2J000005OXyPQAW,,Healthcare,,India BSA,,,,,65.0,,,,India,,,,Services
25054,2018-01-29,a1t2J000005OXyPQAW,,Healthcare,,Analyst,,,,,162.0,,,,USA,,,,Services
15946,2018-01-29,a1t2J000005OXyPQAW,,Healthcare,,India Developer,,,,,57.0,,,,India,,,,Services
17452,2018-01-29,a1t2J000005OXyPQAW,,Healthcare,,Director/Manager,,,,,209.0,,,,USA,,,,Services
1084,2018-01-31,a1t2J000005YqscQAC,,,,UI Developer,,,,,100.0,150.0,110.0,,USA,,,,Services
18091,2018-01-31,a1t2J000005YqscQAC,,,,Developer,,,,,100.0,150.0,110.0,,USA,,,,Services
1100,2018-01-26,a1t2J000005Yqt1QAC,,"VOIP, Datacenter",,UC National Practice Lead,,,,,250.0,275.0,215.0,,USA,,,,Services
17255,2018-01-26,a1t2J000005Yqt1QAC,,"VOIP, Datacenter",,Engagement Manager,,,,,195.0,250.0,185.0,,USA,,,,Services
4125,2018-01-26,a1t2J000005Yqt1QAC,,"VOIP, Datacenter",,Sr. UC Consultant,,,,,205.0,265.0,185.0,,USA,,,,Services
9593,2018-01-26,a1t2J000005Yqt1QAC,,"VOIP, Datacenter",,Project Manager/Porting Analyst,,,,,195.0,225.0,175.0,,USA,,,,Services
12146,2018-01-26,a1t2J000005YqtGQAS,Red Hat,,,OpenShift Architect ,,,,,200.0,275.0,190.0,,USA,,,,Services
12145,2018-01-26,a1t2J000005YqtGQAS,Red Hat,,,OpenShift Senior Architect,,,,,225.0,300.0,215.0,,USA,,,,Services
12144,2018-01-26,a1t2J000005YqtGQAS,Red Hat,,,OpenShift Sr Consultant ,,,,,150.0,225.0,145.0,,USA,,,,Services
18594,2018-01-29,a1t2J000005YqtLQAS,,,,Designer,,,,,145.0,200.0,165.0,,USA,,,,Services
2252,2018-01-29,a1t2J000005YqtLQAS,,,,Technology Architect,,,,,161.0,270.0,200.0,,USA,,,,Services
10650,2018-01-29,a1t2J000005YqtLQAS,,,,Program Manager,,,,,238.0,325.0,240.0,,USA,,,,Services
13415,2018-01-29,a1t2J000005YqtLQAS,,,,Marketing Strategist,,,,,161.0,300.0,225.0,,USA,,,,Services
20140,2018-01-29,a1t2J000005YqtLQAS,,,,Data Architect,,,,,161.0,270.0,200.0,,USA,,,,Services
2447,2018-01-29,a1t2J000005YqtLQAS,,,,Technical QA Specialist,,,,,161.0,165.0,140.0,,USA,,,,Services
2524,2018-01-29,a1t2J000005YqtLQAS,,,,Technical Producer,,,,,106.0,165.0,140.0,,USA,,,,Services
13419,2018-01-29,a1t2J000005YqtLQAS,,,,Marketing Consultant,,,,,161.0,240.0,190.0,,USA,,,,Services
5217,2018-01-29,a1t2J000005YqtLQAS,,,,Solution Architect,,,,,161.0,270.0,200.0,,USA,,,,Services
9751,2018-01-29,a1t2J000005YqtLQAS,,,,Project Manager,,,,,161.0,265.0,200.0,,USA,,,,Services
18821,2018-01-29,a1t2J000005YqtLQAS,,,,Deliverability Consultant,,,,,156.0,240.0,190.0,,USA,,,,Services
8568,2018-01-29,a1t2J000005OLKwQAO,Salesforce,,,Salesforce Technical Consult ,,,,,193.439125,,,,UK,,,,Services
8569,2018-01-29,a1t2J000005OLKwQAO,Salesforce,,,Salesforce Technical Architect,,,,,254.98793750000002,,,,UK,,,,Services
5975,2018-01-29,a1t2J000005OLUbQAO,,,,SFDC Arch,,,,,290.6328784745748,,,,UK,,,,Services
5974,2018-01-29,a1t2J000005OLUbQAO,,,,SFDC Arch,,,,,178.85100213819985,,,,UK,,,,Services
17247,2018-01-29,a1t2J000005OLUbQAO,,,,Engagement Partner,,,,,472.25676436685524,,,,UK,,,,Services
16403,2018-01-29,a1t2J000005OLUbQAO,,,,Functional lead and plan,,,,,290.6328784745748,,,,UK,,,,Services
18759,2018-01-29,a1t2J000005OLUbQAO,,,,Delivery lead,,,,,344.53080644451677,,,,UK,,,,Services
9595,2018-01-29,a1t2J000005OLKwQAO,,,,Project Manager/ Business Analyst,,,,,228.60987500000002,,,,UK,,,,Services
5972,2018-01-29,a1t2J000005OLUbQAO,,,,SFDC Dev 2,,,,,67.06912580182495,,,,UK,,,,Services
5973,2018-01-29,a1t2J000005OLUbQAO,,,,SFDC Dev 1,,,,,67.06912580182495,,,,UK,,,,Services
5319,2018-01-29,a1t2J000005OLKwQAO,,,,Solution Architect,,,,,254.98793750000002,,,,UK,,,,Services
